Date,Open,High,Low,Close
01/19/2024,"21,615.20","21,670.60","21,575.00","21,622.40"
01/18/2024,"21,414.20","21,539.40","21,285.55","21,462.25"
01/17/2024,"21,647.25","21,851.50","21,550.45","21,571.95"
01/16/2024,"22,080.50","22,124.15","21,969.80","22,032.30"
01/15/2024,"22,053.15","22,115.55","21,963.55","22,097.45"
01/12/2024,"21,773.55","21,928.25","21,715.15","21,894.55"
01/11/2024,"21,688.00","21,726.50","21,593.75","21,647.20"
01/10/2024,"21,529.30","21,641.85","21,448.65","21,618.70"
01/09/2024,"21,653.60","21,724.45","21,517.85","21,544.85"
01/08/2024,"21,747.60","21,763.95","21,492.90","21,513.00"
01/05/2024,"21,705.75","21,749.60","21,629.20","21,710.80"
01/04/2024,"21,605.80","21,685.65","21,564.55","21,658.60"
01/03/2024,"21,661.10","21,677.00","21,500.35","21,517.35"
01/02/2024,"21,751.35","21,755.60","21,555.65","21,665.80"
01/01/2024,"21,727.75","21,834.35","21,680.85","21,741.90"
12/29/2023,"21,737.65","21,770.30","21,676.90","21,731.40"
12/28/2023,"21,715.00","21,801.45","21,678.00","21,778.70"
12/27/2023,"21,497.65","21,675.75","21,495.80","21,654.75"
12/26/2023,"21,365.20","21,477.15","21,329.45","21,441.35"
