timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705503673978,1793,Linked in HomePage,200,OK,Thread Group 1 1-1,text,true,,135897,121,1,1,https://www.linkedin.com/,1132,0,757
1705503675786,1378,Invalid Login,404,Not Found,Thread Group 1 1-1,text,false,,323093,329,1,1,https://www.linkedin.com/uas/login-submit,558,0,0
1705503677167,436,Forgot Password,999,Request denied,Thread Group 1 1-1,text,false,,25318,420,1,1,https://linkedin.com/uas/request-password-reset?trk=homepage-basic_forgot_password&original_refere=https%3A%2F%2Fwww.linkedin.com%2F,226,0,0
1705503677872,1372,Linked in HomePage,200,OK,Thread Group 1 1-2,text,true,,135112,121,1,1,https://www.linkedin.com/,814,0,313
1705503679247,1543,Invalid Login,404,Not Found,Thread Group 1 1-2,text,false,,323093,329,1,1,https://www.linkedin.com/uas/login-submit,555,0,0
1705503680792,518,Forgot Password,999,Request denied,Thread Group 1 1-2,text,false,,25318,420,1,1,https://linkedin.com/uas/request-password-reset?trk=homepage-basic_forgot_password&original_refere=https%3A%2F%2Fwww.linkedin.com%2F,267,0,0
1705503681871,1539,Linked in HomePage,200,OK,Thread Group 1 1-3,text,true,,135081,121,1,1,https://www.linkedin.com/,788,0,378
1705503683412,1558,Invalid Login,404,Not Found,Thread Group 1 1-3,text,false,,323361,329,1,1,https://www.linkedin.com/uas/login-submit,552,0,0
1705503684971,517,Forgot Password,999,Request denied,Thread Group 1 1-3,text,false,,25318,420,1,1,https://linkedin.com/uas/request-password-reset?trk=homepage-basic_forgot_password&original_refere=https%3A%2F%2Fwww.linkedin.com%2F,266,0,0
1705503685871,1366,Linked in HomePage,200,OK,Thread Group 1 1-4,text,true,,135112,121,1,1,https://www.linkedin.com/,807,0,350
1705503687239,1511,Invalid Login,404,Not Found,Thread Group 1 1-4,text,false,,323093,329,1,1,https://www.linkedin.com/uas/login-submit,542,0,0
1705503688752,506,Forgot Password,999,Request denied,Thread Group 1 1-4,text,false,,25318,420,1,1,https://linkedin.com/uas/request-password-reset?trk=homepage-basic_forgot_password&original_refere=https%3A%2F%2Fwww.linkedin.com%2F,259,0,0
1705503689871,1301,Linked in HomePage,200,OK,Thread Group 1 1-5,text,true,,135081,121,1,1,https://www.linkedin.com/,671,0,308
1705503691177,3042,Invalid Login,404,Not Found,Thread Group 1 1-5,text,false,,323093,329,1,1,https://www.linkedin.com/uas/login-submit,490,0,0
1705503694220,443,Forgot Password,999,Request denied,Thread Group 1 1-5,text,false,,25318,420,1,1,https://linkedin.com/uas/request-password-reset?trk=homepage-basic_forgot_password&original_refere=https%3A%2F%2Fwww.linkedin.com%2F,230,0,0
